"Year","LEA","LEA.Name","School","School.Name","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
2023,6,"Carroll",509,"Piney Ridge Elementary"," Mathematics All Grades","All Students","269","174",64.7,"<= 5.0","30.9","56.9","7.8",20241015,"-8567358.0446","4779212.8126","1676","Carroll                                           ","06.040","6315 FREEDOM AVENUE","SYKESVILLE","MD","21784","K-5","Elementary","ZCTA5 21784","B19301_001",57412,2069
2023,15,"Montgomery",153,"Poolesville Elementary"," Mathematics All Grades","All Students","312","202",64.7,"5.8","29.5","58.3","6.4",20241015,"-8616929.7694","4742349.6037","2154","Montgomery                                        ","15.137","19565 FISHER AVENUE","POOLESVILLE","MD","20837","K-5","Elementary","ZCTA5 20837","B19301_001",69955,6417
2023,12,"Harford",327,"Fountain Green Elementary"," Mathematics All Grades","All Students","229","148",64.6,"7.0","28.4","59.4","5.2",20241015,"-8494191.7879","4799484.3768","1879","Harford                                           ","12.033","517 FOUNTAIN GREEN RD","BEL AIR","MD","21015","PreK-5","Elementary","ZCTA5 21015","B19301_001",57656,2814
2023,23,"Worcester",312,"Showell Elementary"," Mathematics All Grades","All Students","219","141",64.4,"5.5","30.1","56.2","8.2",20241015,"-8370335.8612","4634754.5291","1381","Worcester                                         ","23.001","11318 SHOWELL SCHOOL ROAD","BERLIN","MD","21811","PreK-4","Elementary","ZCTA5 21811","B19301_001",51603,4030
2023,10,"Frederick",919,"Oakdale Elementary"," Mathematics All Grades","All Students","544","348",64,"6.3","29.8","55.7","8.3",20241015,"-8607082.1279","4778488.4942","2352","Frederick                                         ","10.062","5830 OAKDALE SCHOOL ROAD","IJAMSVILLE","MD","21754","K-5","Elementary","ZCTA5 21754","B19301_001",72806,7577
2023,15,"Montgomery",570,"Diamond Elementary"," Mathematics All Grades","All Students","353","226",64,"<= 5.0","31.7","50.7","13.3",20241015,"-8598207.1955","4741134.0352","2175","Montgomery                                        ","15.104","4 MARQUIS DRIVE","GAITHERSBURG","MD","20878","K-5","Elementary","ZCTA5 20878","B19301_001",69898,2690
2023,13,"Howard",307,"Folly Quarter Middle"," Mathematics All Grades","All Students","678","432",63.7,"5.3","31.0","55.2","8.6",20241015,"-8569796.275","4759878.0435","1827","Howard                                            ","13.081","13500 TRIDELPHIA ROAD","ELLICOTT CITY","MD","21042","6-8","Middle","ZCTA5 21042","B19301_001",77562,3782
2023,3,"Baltimore County",1113,"Honeygo Elementary"," Mathematics All Grades","All Students","331","210",63.4,"6.6","29.9","56.2","7.3",20241015,"-8510780.6711","4779637.838","2725","Baltimore County                                  ","03.219","4816 E JOPPA RD","PERRY HALL","MD","21128","","Elementary","ZCTA5 21128","B19301_001",54332,4115
2023,6,"Carroll",501,"Eldersburg Elementary"," Mathematics All Grades","All Students","224","142",63.4,"<= 5.0","33.0","55.4","8.0",20241015,"-8566994.6971","4780495.1351","1681","Carroll                                           ","06.020","1021 JOHNSVILLE RD","SYKESVILLE","MD","21784","PreK-5","Elementary","ZCTA5 21784","B19301_001",57412,2069
2023,13,"Howard",208,"Northfield Elementary"," Mathematics All Grades","All Students","372","235",63.2,"6.7","30.1","49.7","13.4",20241015,"-8552709.3455","4758381.7597","1846","Howard                                            ","13.048","9125 NORTHFIELD RD.","ELLICOTT CITY","MD","21042","K-5","Elementary","ZCTA5 21042","B19301_001",77562,3782
2023,10,"Frederick",915,"Kemptown Elementary"," Mathematics All Grades","All Students","214","135",63.1,"5.1","31.8","56.5","6.5",20241015,"-8597672.2131","4768968.3842","1769","Frederick                                         ","10.032","3456 KEMPTOWN CH RD","MONROVIA","MD","21770","K-5","Elementary","ZCTA5 21770","B19301_001",63232,6687
2023,15,"Montgomery",220,"Luxmanor Elementary"," Mathematics All Grades","All Students","312","197",63.1,"6.7","30.1","53.8","9.3",20241015,"-8585737.7114","4728108.6952","2485","Montgomery                                        ","15.220","6201 TILDEN LANE","ROCKVILLE","MD","20852","K-5","Elementary","ZCTA5 20852","B19301_001",74110,4604
