"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"56","Bel Air High","English",61.8,2023,12,"Harford",373," English Language Arts All Grades","All Students","355","244",68.7,"<= 5.0","29.3","57.7","11.0",20241015,6.90000000000001,"-8498999.1465","4798060.7208","1720","Harford                                           ","12.004","100 HEIGHE ST","BEL AIR","MD","21014","9-12","High","ZCTA5 21014","B19301_001",50990,2291
"57","Bel Air Middle","English",61.9626004382761,2023,12,"Harford",372," English Language Arts All Grades","All Students","1116","755",67.7,"<= 5.0","29.7","59.3","8.3",20241015,5.73739956172388,"-8498622.847","4797571.2918","1881","Harford                                           ","12.035","99 IDLEWILD ST","BEL AIR","MD","21014","6-8","Middle","ZCTA5 21014","B19301_001",50990,2291
"58","Belle Grove Elementary","English",21.6440298507463,2023,2,"Anne Arundel",1082," English Language Arts All Grades","All Students","151","31",20.5,"27.2","52.3","20.5","<= 5.0",20241015,-1.14402985074627,"-8529513.101","4754630.0429","2597","Anne Arundel                                      ","02.121","4502 BELLE GROVE RD","BALTIMORE","MD","21225","PreK-5","Elementary","ZCTA5 21225","B19301_001",26626,1620
"59","Bellows Spring Elementary","English",64.9469565217391,2023,13,"Howard",218," English Language Arts All Grades","All Students","328","210",64,"6.7","29.3","56.4","7.6",20241015,-0.946956521739139,"-8547837.9594","4750954.1306","2282","Howard                                            ","13.078","8125 OLD STOCKBRIDGE DRIVE","ELLICOTT CITY","MD","21043","PreK-5","Elementary","ZCTA5 21043","B19301_001",64911,2548
"60","Bells Mill Elementary","English",77.9694189602447,2023,15,"Montgomery",607," English Language Arts All Grades","All Students","310","263",84.8,"<= 5.0","14.8","64.2","20.6",20241015,6.83058103975534,"-8590381.8016","4726290.0374","2118","Montgomery                                        ","15.185","8225 BELLS MILL RD","POTOMAC","MD","20854","HS-5","Elementary","ZCTA5 20854","B19301_001",110500,4957
"61","Belmont Elementary","English",57.0004385964912,2023,15,"Montgomery",513," English Language Arts All Grades","All Students","168","134",79.8,"<= 5.0","19.0","61.9","17.9",20241015,22.7995614035088,"-8579015.664","4747281.6198","2219","Montgomery                                        ","15.021","19528 OLNEY MILL RD","OLNEY","MD","20832","K-5","Elementary","ZCTA5 20832","B19301_001",67017,5032
"62","Belmont Elementary","English",57.0004385964912,2023,15,"Montgomery",513," English Language Arts All Grades","All Students","168","134",79.8,"<= 5.0","19.0","61.9","17.9",20241015,22.7995614035088,"-8534974.5442","4765227.8265","2332","Baltimore City                                    ","30.214","1406 NORTH ELLAMONT ST","BALTIMORE","MD","21216","PreK-5","Elementary","ZCTA5 21216","B19301_001",26585,2268
"63","Belmont Elementary","English",57.0004385964912,2023,30,"Baltimore City",217," English Language Arts All Grades","All Students","75","*",5,"34.7","61.3","<= 5.0","<= 5.0",20241015,-52.0004385964912,"-8579015.664","4747281.6198","2219","Montgomery                                        ","15.021","19528 OLNEY MILL RD","OLNEY","MD","20832","K-5","Elementary","ZCTA5 20832","B19301_001",67017,5032
"64","Belmont Elementary","English",57.0004385964912,2023,30,"Baltimore City",217," English Language Arts All Grades","All Students","75","*",5,"34.7","61.3","<= 5.0","<= 5.0",20241015,-52.0004385964912,"-8534974.5442","4765227.8265","2332","Baltimore City                                    ","30.214","1406 NORTH ELLAMONT ST","BALTIMORE","MD","21216","PreK-5","Elementary","ZCTA5 21216","B19301_001",26585,2268
"65","Beltsville Academy","English",39.5914685314685,2023,16,"Prince George's",104," English Language Arts All Grades","All Students","737","287",38.9,"13.0","48.0","34.3","<= 5.0",20241015,-0.691468531468537,"-8562534.2686","4727215.4452","2014","Prince George's                                   ","16.115","4300 WICOMICO AVENUE","BELTSVILLE","MD","20705","PreK-8","PreK-8","ZCTA5 20705","B19301_001",37857,2319
