"","School.Name","assessment","Weighted_Proficient","Year","LEA","LEA.Name","School","Assessment","Student.Group","Tested.Count","Proficient.Count","Proficient.Pct","Level.1.Pct","Level.2.Pct","Level.3.Pct","Level.4.Pct","Create.Date","diference","X","Y","OBJECTID","County","PSC_NUMBER","STREET","CITY","STATE","ZIP","Grades","School_Type","NAME","variable","Income_per_cap","moe"
"252","Eldersburg Elementary","Math",71.2415525114155,2023,6,"Carroll",501," Mathematics All Grades","All Students","224","142",63.4,"<= 5.0","33.0","55.4","8.0",20241015,-7.84155251141552,"-8566994.6971","4780495.1351","1681","Carroll                                           ","06.020","1021 JOHNSVILLE RD","SYKESVILLE","MD","21784","PreK-5","Elementary","ZCTA5 21784","B19301_001",57412,2069
"253","Eleanor Roosevelt High","Math",11.2,2023,16,"Prince George's",2114," Mathematics All Grades","All Students","419","69",16.5,"42.7","40.8","15.0","<= 5.0",20241015,5.3,"-8557071.1585","4720838.8238","2064","Prince George's                                   ","16.002","7601 HANOVER PARKWAY","GREENBELT","MD","20770","9-12","High","ZCTA5 20770","B19301_001",45269,4183
"254","Elk Neck Elementary","Math",49.2188481675393,2023,7,"Cecil",515," Mathematics All Grades","All Students","216","77",35.6,"17.1","47.2","34.3","<= 5.0",20241015,-13.6188481675393,"-8449073.1678","4798676.4658","1655","Cecil                                             ","07.024","41 RACINE SCHOOL RD","ELKTON","MD","21921","PreK-5","Elementary","ZCTA5 21921","B19301_001",40036,2700
"255","Elkridge Elementary","Math",43.633105022831,2023,13,"Howard",101," Mathematics All Grades","All Students","414","123",29.7,"22.5","47.8","27.5","<= 5.0",20241015,-13.933105022831,"-8541424.5254","4752325.5491","1804","Howard                                            ","13.020","7075 MONTGOMERY ROAD","ELKRIDGE","MD","21075","K-5","Elementary","ZCTA5 21075","B19301_001",53091,2563
"256","Elkridge Landing Middle","Math",45.6926128590971,2023,13,"Howard",106," Mathematics All Grades","All Students","665","199",29.9,"19.5","50.5","29.3","<= 5.0",20241015,-15.7926128590971,"-8541422.7844","4752137.0227","1839","Howard                                            ","13.054","7085 MONTGOMERY ROAD","ELKRIDGE","MD","21075","6-8","Middle","ZCTA5 21075","B19301_001",53091,2563
"257","Elkton High","Math",8.4,2023,7,"Cecil",302," Mathematics All Grades","All Students","242","*",5,"51.7","46.3","<= 5.0","<= 5.0",20241015,-3.4,"-8441923.7166","4811227.2858","1650","Cecil                                             ","07.032","110 JAMES ST","ELKTON","MD","21921","9-12","High","ZCTA5 21921","B19301_001",40036,2700
"258","Elkton Middle","Math",22.3990049751244,2023,7,"Cecil",303," Mathematics All Grades","All Students","473","35",7.4,"55.4","37.2","7.4","<= 5.0",20241015,-14.9990049751244,"-8441405.9081","4810940.4773","1658","Cecil                                             ","07.029","615 NORTH STREET","ELKTON","MD","21921","6-8","Middle","ZCTA5 21921","B19301_001",40036,2700
"259","Ellicott Mills Middle","Math",59.9775294117647,2023,13,"Howard",202," Mathematics All Grades","All Students","651","286",43.9,"10.6","45.5","40.7","<= 5.0",20241015,-16.0775294117647,"-8550517.1477","4757553.6031","1860","Howard                                            ","13.026","4445 MONTGOMERY ROAD","ELLICOTT CITY","MD","21043","6-8","Middle","ZCTA5 21043","B19301_001",64911,2548
"260","Elmwood Elementary","Math",21.462676056338,2023,3,"Baltimore County",1405," Mathematics All Grades","All Students","211","22",10.4,"37.4","52.1","10.4","<= 5.0",20241015,-11.062676056338,"-8518168.6325","4771796.0303","1476","Baltimore County                                  ","03.072","531 DALE AVENUE","BALTIMORE","MD","21206","PreK-5","Elementary","ZCTA5 21206","B19301_001",34560,2093
"261","Emma K. Doub Elementary","Math",48.2464285714286,2023,21,"Washington",302," Mathematics All Grades","All Students","186","76",40.9,"19.9","39.2","37.6","<= 5.0",20241015,-7.34642857142857,"-8653019.3644","4810427.2495","1422","Washington                                        ","21.032","1221 SOUTH POTOMAC STREET","HAGERSTOWN","MD","21740","PreK-5","Elementary","ZCTA5 21740","B19301_001",32289,1866
