X,Y,OBJECTID,County,PSC_NUMBER,SCHOOL_NAME,STREET,CITY,STATE,ZIP,Grades,School_Type
-8586989.1356,4718030.6957,2103,Montgomery                                        ,15.204,Bannockburn Elementary                                      ,6520 DALROY LANE,BETHESDA,MD,20817,K-5,Elementary
-8589601.7073,4734249.3362,2104,Montgomery                                        ,15.205,Beall Elementary                                            ,451 BEALL AVENUE,ROCKVILLE,MD,20850,HS-5,Elementary
-8577689.454,4733368.2032,2105,Montgomery                                        ,15.206,Bel Pre Elementary                                          ,13801 RIPPLING BROOK DRIVE,SILVER SPRING,MD,20906,PreK-2,Elementary
-8571757.3246,4727320.0305,2106,Montgomery                                        ,15.208,Burnt Mills Elementary                                      ,11211 CHILDS ST,SILVER SPRING,MD,20901,PreK-5,Elementary
-8576357.052,4741170.144,2107,Montgomery                                        ,15.197,Farquhar (William) Middle                                   ,16915 BACHELOR'S FOREST RD,OLNEY,MD,20832,6-8,Middle
-8603343.5668,4747615.884,2108,Montgomery                                        ,15.198,"King (Dr. Martin Luther, Jr.) Middle                        ",13737 WISTERIA DRIVE,GERMANTOWN,MD,20874,6-8,Middle
-8603302.7785,4745501.4538,2109,Montgomery                                        ,15.200,Kingsview Middle                                            ,18909 KINGSVIEW ROAD,GERMANTOWN,MD,20874,6-8,Middle
-8570324.4674,4725636.9366,2110,Montgomery                                        ,15.201,Cresthaven Elementary                                       ,1234 CRESTHAVEN DR,SILVER SPRING,MD,20903,3-5,Elementary
-8578417.9086,4732513.5993,2111,Montgomery                                        ,15.202,Georgian Forest Elementary                                  ,3100 REGINA DR,SILVER SPRING,MD,20906,HS-5,Elementary
-8593556.3343,4746349.1801,2112,Montgomery                                        ,15.190,Whetstone Elementary                                        ,19201 THOMAS FARM DRIVE,GAITHERSBURG,MD,20879,PreK-5,Elementary
-8592187.6864,4743724.6338,2113,Montgomery                                        ,15.191,Forest Oak Middle                                           ,651 SAYBROOKE OAKS BOULEVARD,GAITHERSBURG,MD,20877,6-8,Middle
-8578803.5734,4745390.7753,2114,Montgomery                                        ,15.192,Greenwood Elementary                                        ,3336 GOLDMINE ROAD,BROOKEVILLE,MD,20833,K-5,Elementary
-8581158.9122,4741358.3185,2115,Montgomery                                        ,15.193,Cashell Elementary                                          ,17101 CASHELL RD,ROCKVILLE,MD,20853,PreK-5,Elementary
-8586919.0802,4734782.6138,2116,Montgomery                                        ,15.194,Maryvale Elementary / Sandburg (Carl) Learning Center,1010 FIRST ST COLOCATED WITH CARL SANDBURG CENTER SANDBURG'S ADDRESS IS 1002 FIRST STREET,ROCKVILLE,MD,20850,HS-5,Elementary
-8591227.7193,4729139.2316,2117,Montgomery                                        ,15.183,Beverly Farms Elementary                                    ,8501 POST OAK RD,POTOMAC,MD,20854,K-5,Elementary
-8590381.8016,4726290.0374,2118,Montgomery                                        ,15.185,Bells Mill Elementary                                       ,8225 BELLS MILL RD,POTOMAC,MD,20854,HS-5,Elementary
-8572247.9574,4729982.822,2119,Montgomery                                        ,15.186,Springbrook High                                            ,201 VALLEYBROOK DRIVE,SILVER SPRING,MD,20904,9-12,High
-8585786.0499,4724439.5182,2120,Montgomery                                        ,15.188,Ashburton Elementary                                        ,6314 LONE OAK DRIVE,BETHESDA,MD,20817,K-5,Elementary
-8598016.7245,4751340.2769,2121,Montgomery                                        ,15.189,Ride (Dr. Sally K.) Elementary                              ,21301 SENECA CROSSING DRIVE,GERMANTOWN,MD,20876,HS-5,Elementary
-8595435.4109,4758463.4783,2122,Montgomery                                        ,15.173,Rockwell (Lois P.) Elementary                               ,24555 CUTSAIL DRIVE,DAMASCUS,MD,20872,K-5,Elementary
-8570938.9962,4731524.8082,2123,Montgomery                                        ,15.179,Cannon Road Elementary                                      ,901 CANNON RD,SILVER SPRING,MD,20904,K-5,Elementary
-8590742.7415,4726208.788,2124,Montgomery                                        ,15.209,Cabin John Middle                                           ,10701 GAINSBOROUGH RD,ROCKVILLE,MD,20854,6-8,Middle
-8586313.3348,4741818.127,2125,Montgomery                                        ,15.238,Redland Middle                                              ,6505 MUNCASTER MILL RD,ROCKVILLE,MD,20855,6-8,Middle
-8595957.3619,4761004.016,2126,Montgomery                                        ,15.182,Baker (John T.) Middle                                      ,25400 OAK DRIVE,DAMASCUS,MD,20872,6-8,Middle
-8595709.2532,4747954.6582,2127,Montgomery                                        ,15.166,Watkins Mill High                                           ,10301 APPLE RIDGE ROAD,GAITHERSBURG,MD,20879,9-12,High
-8568361.8559,4737399.8821,2128,Montgomery                                        ,15.167,Briggs Chaney Middle                                        ,1901 RAINBOW DRIVE,SILVER SPRING,MD,20905,6-8,Middle
-8580668.23,4746322.0417,2129,Montgomery                                        ,15.168,Rosa Parks Middle                                           ,19200 OLNEY MILL ROAD,OLNEY,MD,20832,6-8,Middle
-8572914.0288,4724282.3223,2130,Montgomery                                        ,15.171,Montgomery Blair High                                       ,"51 UNIVERSITY BOULEVARD, EAST",SILVER SPRING,MD,20901,9-12,High
-8575936.3279,4731098.7255,2131,Montgomery                                        ,15.172,Kennedy (John F.) High                                      ,1901 RANDOLPH RD,SILVER SPRING,MD,20902,9-12,High
-8592453.7766,4732565.7777,2132,Montgomery                                        ,15.161,Frost (Robert) Middle                                       ,9201 SCOTT DRIVE,ROCKVILLE,MD,20850,6-8,Middle
